기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,은평구,불광2동,"1,295",549,"3,943","1,860","2,083","1,160","2,405",53,368,36,995,46,175
2019,은평구,응암3동,"1,768",754,"5,142","2,408","2,734","1,613","3,579",65,674,31,654,59,235
2019,은평구,역촌동,"2,534",970,"7,778","3,730","4,048","2,232","4,986",169,"1,507",39,921,94,364
2019,서대문구,소계,"20,095","7,500","113,819","55,966","57,853","16,491","37,917","2,235","33,612",735,"38,898",634,"3,392"
2019,서대문구,천연동,915,395,"3,069","1,488","1,581",792,"1,670",44,293,50,"1,012",29,94
2019,서대문구,홍제1동,"1,154",458,"4,827","2,514","2,313",978,"2,269",89,"1,276",33,961,54,321
2019,서대문구,홍제3동,"1,157",478,"3,687","1,543","2,144","1,037","2,294",41,500,32,645,47,248
2019,서대문구,홍제2동,594,263,"1,699",826,873,514,"1,139",28,179,22,251,30,130
2019,서대문구,홍은1동,999,382,"2,658","1,217","1,441",869,"1,608",55,371,26,404,49,275
2019,서대문구,홍은2동,"1,219",402,"5,414","2,843","2,571","1,034","2,094",86,"1,202",39,"1,811",60,307
2019,서대문구,남가좌1동,691,307,"2,204",792,"1,412",596,"1,494",50,220,20,319,25,171
2019,서대문구,남가좌2동,"1,310",530,"5,271","2,559","2,712","1,181","2,657",63,554,32,"1,844",34,216
2019,서대문구,북가좌1동,681,225,"3,173","1,966","1,207",583,"1,237",64,"1,380",13,381,21,175
2019,서대문구,북가좌2동,"2,443",646,"6,752","3,795","2,957","2,264","3,977",96,"2,165",30,247,53,363
2019,서대문구,충현동,"1,817",600,"24,246","13,980","10,266","1,132","2,931",458,"14,717",165,"6,315",62,283
2019,서대문구,북아현동,862,348,"2,420","1,119","1,301",771,"1,641",38,189,29,458,24,132
2019,서대문구,신촌동,"3,901","1,563","37,647","15,776","21,871","2,867","8,586",797,"7,343",168,"21,399",69,319
2019,서대문구,연희동,"2,352",903,"10,752","5,548","5,204","1,873","4,320",326,"3,223",76,"2,851",77,358
2019,마포구,소계,"37,290","12,919","247,276","132,558","114,718","26,069","66,963","9,339","150,115","1,064","25,174",818,"5,024"
2019,마포구,용강동,"2,566",803,"18,813","10,218","8,595","1,416","3,670",959,"13,480",131,"1,411",60,252
2019,마포구,대흥동,"1,571",570,"10,097","4,963","5,134","1,194","3,840",265,"2,846",72,"3,168",40,243
2019,마포구,염리동,726,282,"4,383","2,288","2,095",557,"1,140",117,"2,571",20,427,32,245
2019,마포구,신수동,"1,209",393,"5,549","2,873","2,676",908,"2,356",223,"2,035",39,906,39,252
2019,마포구,서교동,"9,552","3,210","57,173","27,784","29,389","6,357","18,750","2,962","35,764",159,"2,380",74,279
2019,마포구,합정동,"2,397",848,"11,154","5,723","5,431","1,641","3,848",665,"6,466",51,620,40,220
2019,마포구,망원1동,"1,899",613,"5,293","2,840","2,453","1,682","3,563",149,"1,213",28,359,40,158
